Leaf,Variable,Variable_level,Coverage_number,Classification,Coverage_rate,Probability_Readmission
17,Age,19,12,2,7.11E-05,1
17,Age,20,12,2,7.11E-05,1
17,Age,22,12,2,7.11E-05,1
17,Age,25,12,2,7.11E-05,1
17,Age,7,12,2,7.11E-05,1
17,Age,46,12,2,7.11E-05,1
17,Age,50,12,2,7.11E-05,1
17,Age,65,12,2,7.11E-05,1
17,Age,90,12,2,7.11E-05,1
17,Age,77,12,2,7.11E-05,1
17,Age,68,12,2,7.11E-05,1
17,Age,18,12,2,7.11E-05,1
17,Age,56,12,2,7.11E-05,1
17,Age,58,12,2,7.11E-05,1
17,Age,45,12,2,7.11E-05,1
17,Age,61,12,2,7.11E-05,1
17,Age,10,12,2,7.11E-05,1
17,Age,49,12,2,7.11E-05,1
17,Age,89,12,2,7.11E-05,1
17,Age,28,12,2,7.11E-05,1
17,Age,76,12,2,7.11E-05,1
17,Age,30,12,2,7.11E-05,1
17,Age,32,12,2,7.11E-05,1
17,Age,78,12,2,7.11E-05,1
17,Age,36,12,2,7.11E-05,1
17,Age,37,12,2,7.11E-05,1
17,Age,87,12,2,7.11E-05,1
17,Age,73,12,2,7.11E-05,1
17,Age,11,12,2,7.11E-05,1
17,Age,43,12,2,7.11E-05,1
17,Age,40,12,2,7.11E-05,1
17,Age,31,12,2,7.11E-05,1
17,Age,29,12,2,7.11E-05,1
17,Age,75,12,2,7.11E-05,1
17,Age,42,12,2,7.11E-05,1
17,Age,38,12,2,7.11E-05,1
17,Age,88,12,2,7.11E-05,1
17,Age,74,12,2,7.11E-05,1
17,Age,39,12,2,7.11E-05,1
17,Age,85,12,2,7.11E-05,1
17,Age,47,12,2,7.11E-05,1
17,Age,26,12,2,7.11E-05,1
17,Age,86,12,2,7.11E-05,1
17,Age,44,12,2,7.11E-05,1
17,Age,82,12,2,7.11E-05,1
17,Age,41,12,2,7.11E-05,1
17,Age,83,12,2,7.11E-05,1
17,LOS,36,12,2,7.11E-05,1
17,LOS,2,12,2,7.11E-05,1
17,LOS,3,12,2,7.11E-05,1
18,SRG_Desc,23 Renal Dialysis,381,1,0.00225755,0.118110236
18,SRG_Desc,47 Dentistry,381,1,0.00225755,0.118110236
18,Age,21,381,1,0.00225755,0.118110236
18,Age,57,381,1,0.00225755,0.118110236
18,Age,24,381,1,0.00225755,0.118110236
18,Age,23,381,1,0.00225755,0.118110236
18,Age,8,381,1,0.00225755,0.118110236
18,Age,84,381,1,0.00225755,0.118110236
18,Age,33,381,1,0.00225755,0.118110236
18,Age,27,381,1,0.00225755,0.118110236
18,Age,48,381,1,0.00225755,0.118110236
18,Age,16,381,1,0.00225755,0.118110236
18,Age,9,381,1,0.00225755,0.118110236
18,Age,35,381,1,0.00225755,0.118110236
18,Sex,M,381,1,0.00225755,0.118110236
38,SRG_Desc,23 Renal Dialysis,166,1,0.000983605,0.174698795
38,SRG_Desc,47 Dentistry,166,1,0.000983605,0.174698795
38,Age,23,166,1,0.000983605,0.174698795
38,Age,16,166,1,0.000983605,0.174698795
38,Age,57,166,1,0.000983605,0.174698795
38,Age,33,166,1,0.000983605,0.174698795
38,Age,21,166,1,0.000983605,0.174698795
38,Age,27,166,1,0.000983605,0.174698795
38,Age,48,166,1,0.000983605,0.174698795
38,Age,9,166,1,0.000983605,0.174698795
38,Age,35,166,1,0.000983605,0.174698795
38,Age,8,166,1,0.000983605,0.174698795
38,Age,24,166,1,0.000983605,0.174698795
38,Sex,F,166,1,0.000983605,0.174698795
39,SRG_Desc,47 Dentistry,57,2,0.000337744,0.666666667
39,SRG_Desc,23 Renal Dialysis,57,2,0.000337744,0.666666667
39,Age,84,57,2,0.000337744,0.666666667
39,Sex,F,57,2,0.000337744,0.666666667
320,SRG_Desc,51 Plastic and Reconstructive Surgery,1962,1,0.011625496,0.071865443
320,SRG_Desc,50 Ophthalmology,1962,1,0.011625496,0.071865443
320,SRG_Desc,16 Diagnostic GI Endoscopy,1962,1,0.011625496,0.071865443
320,Age,99,1962,1,0.011625496,0.071865443
320,Age,89,1962,1,0.011625496,0.071865443
320,Age,87,1962,1,0.011625496,0.071865443
320,Age,81,1962,1,0.011625496,0.071865443
320,Age,97,1962,1,0.011625496,0.071865443
320,Age,61,1962,1,0.011625496,0.071865443
320,Age,53,1962,1,0.011625496,0.071865443
320,Age,83,1962,1,0.011625496,0.071865443
320,Age,8,1962,1,0.011625496,0.071865443
320,Age,62,1962,1,0.011625496,0.071865443
320,Age,73,1962,1,0.011625496,0.071865443
320,Age,82,1962,1,0.011625496,0.071865443
320,Age,52,1962,1,0.011625496,0.071865443
320,Age,74,1962,1,0.011625496,0.071865443
320,Age,60,1962,1,0.011625496,0.071865443
320,Age,4,1962,1,0.011625496,0.071865443
320,Age,10,1962,1,0.011625496,0.071865443
320,Age,78,1962,1,0.011625496,0.071865443
320,Age,77,1962,1,0.011625496,0.071865443
320,Age,51,1962,1,0.011625496,0.071865443
320,Age,71,1962,1,0.011625496,0.071865443
320,Age,54,1962,1,0.011625496,0.071865443
320,Age,80,1962,1,0.011625496,0.071865443
320,Age,3,1962,1,0.011625496,0.071865443
320,Age,63,1962,1,0.011625496,0.071865443
320,Age,45,1962,1,0.011625496,0.071865443
320,Age,79,1962,1,0.011625496,0.071865443
320,Age,72,1962,1,0.011625496,0.071865443
320,Age,6,1962,1,0.011625496,0.071865443
320,Age,5,1962,1,0.011625496,0.071865443
320,Age,55,1962,1,0.011625496,0.071865443
320,Age,48,1962,1,0.011625496,0.071865443
320,Age,11,1962,1,0.011625496,0.071865443
320,Age,36,1962,1,0.011625496,0.071865443
320,Age,57,1962,1,0.011625496,0.071865443
320,Age,70,1962,1,0.011625496,0.071865443
320,Age,59,1962,1,0.011625496,0.071865443
320,Age,56,1962,1,0.011625496,0.071865443
320,Age,9,1962,1,0.011625496,0.071865443
320,Age,69,1962,1,0.011625496,0.071865443
320,Age,34,1962,1,0.011625496,0.071865443
320,Age,38,1962,1,0.011625496,0.071865443
320,Age,49,1962,1,0.011625496,0.071865443
320,Age,50,1962,1,0.011625496,0.071865443
320,Age,16,1962,1,0.011625496,0.071865443
320,Age,47,1962,1,0.011625496,0.071865443
320,Age,46,1962,1,0.011625496,0.071865443
320,Age,58,1962,1,0.011625496,0.071865443
320,Age,31,1962,1,0.011625496,0.071865443
320,Age,100,1962,1,0.011625496,0.071865443
320,Age,41,1962,1,0.011625496,0.071865443
320,Age,40,1962,1,0.011625496,0.071865443
320,Age,66,1962,1,0.011625496,0.071865443
320,Age,68,1962,1,0.011625496,0.071865443
320,Age,65,1962,1,0.011625496,0.071865443
320,Age,75,1962,1,0.011625496,0.071865443
320,Age,64,1962,1,0.011625496,0.071865443
320,Age,67,1962,1,0.011625496,0.071865443
320,Age,44,1962,1,0.011625496,0.071865443
320,Age,76,1962,1,0.011625496,0.071865443
320,Age,42,1962,1,0.011625496,0.071865443
320,LOS,34,1962,1,0.011625496,0.071865443
320,LOS,37,1962,1,0.011625496,0.071865443
320,LOS,242,1962,1,0.011625496,0.071865443
320,LOS,30,1962,1,0.011625496,0.071865443
320,LOS,50,1962,1,0.011625496,0.071865443
320,LOS,1,1962,1,0.011625496,0.071865443
320,LOS,18,1962,1,0.011625496,0.071865443
320,HadPPH,Not Given,1962,1,0.011625496,0.071865443
320,Facility_ID,R211,1962,1,0.011625496,0.071865443
320,Facility_ID,R221,1962,1,0.011625496,0.071865443
320,Facility_ID,N204,1962,1,0.011625496,0.071865443
320,Facility_ID,R215,1962,1,0.011625496,0.071865443
320,Facility_ID,R208,1962,1,0.011625496,0.071865443
320,Facility_ID,M214,1962,1,0.011625496,0.071865443
320,Facility_ID,M210,1962,1,0.011625496,0.071865443
320,Facility_ID,M207,1962,1,0.011625496,0.071865443
320,Facility_ID,N218,1962,1,0.011625496,0.071865443
320,Facility_ID,R205,1962,1,0.011625496,0.071865443
320,Facility_ID,M206,1962,1,0.011625496,0.071865443
320,Facility_ID,R210,1962,1,0.011625496,0.071865443
320,Facility_ID,M213,1962,1,0.011625496,0.071865443
642,SRG_Desc,16 Diagnostic GI Endoscopy,892,1,0.005285393,0.085201794
642,SRG_Desc,51 Plastic and Reconstructive Surgery,892,1,0.005285393,0.085201794
642,SRG_Desc,50 Ophthalmology,892,1,0.005285393,0.085201794
642,Age,46,892,1,0.005285393,0.085201794
642,Age,57,892,1,0.005285393,0.085201794
642,Age,83,892,1,0.005285393,0.085201794
642,Age,78,892,1,0.005285393,0.085201794
642,Age,42,892,1,0.005285393,0.085201794
642,Age,89,892,1,0.005285393,0.085201794
642,Age,82,892,1,0.005285393,0.085201794
642,Age,81,892,1,0.005285393,0.085201794
642,Age,63,892,1,0.005285393,0.085201794
642,Age,52,892,1,0.005285393,0.085201794
642,Age,55,892,1,0.005285393,0.085201794
642,Age,54,892,1,0.005285393,0.085201794
642,Age,41,892,1,0.005285393,0.085201794
642,Age,53,892,1,0.005285393,0.085201794
642,Age,59,892,1,0.005285393,0.085201794
642,Age,58,892,1,0.005285393,0.085201794
642,Age,100,892,1,0.005285393,0.085201794
642,Age,36,892,1,0.005285393,0.085201794
642,Age,97,892,1,0.005285393,0.085201794
642,Age,62,892,1,0.005285393,0.085201794
642,Age,99,892,1,0.005285393,0.085201794
642,Age,40,892,1,0.005285393,0.085201794
642,Age,10,892,1,0.005285393,0.085201794
642,Age,56,892,1,0.005285393,0.085201794
642,Age,48,892,1,0.005285393,0.085201794
642,Age,50,892,1,0.005285393,0.085201794
642,Age,31,892,1,0.005285393,0.085201794
642,Age,77,892,1,0.005285393,0.085201794
642,Age,76,892,1,0.005285393,0.085201794
642,Age,34,892,1,0.005285393,0.085201794
642,Age,49,892,1,0.005285393,0.085201794
642,LOS,1,892,1,0.005285393,0.085201794
642,LOS,37,892,1,0.005285393,0.085201794
642,LOS,50,892,1,0.005285393,0.085201794
642,LOS,34,892,1,0.005285393,0.085201794
642,LOS,242,892,1,0.005285393,0.085201794
642,LOS,30,892,1,0.005285393,0.085201794
642,LOS,18,892,1,0.005285393,0.085201794
642,HadPPH,Not Given,892,1,0.005285393,0.085201794
642,Facility_ID,L212,892,1,0.005285393,0.085201794
642,Facility_ID,R216,892,1,0.005285393,0.085201794
642,Facility_ID,R207,892,1,0.005285393,0.085201794
642,Facility_ID,R218,892,1,0.005285393,0.085201794
642,Facility_ID,R219,892,1,0.005285393,0.085201794
642,Facility_ID,R206,892,1,0.005285393,0.085201794
1286,SRG_Desc,50 Ophthalmology,972,1,0.00575942,0.169753086
1286,SRG_Desc,51 Plastic and Reconstructive Surgery,972,1,0.00575942,0.169753086
1286,SRG_Desc,16 Diagnostic GI Endoscopy,972,1,0.00575942,0.169753086
1286,Age,71,972,1,0.00575942,0.169753086
1286,Age,69,972,1,0.00575942,0.169753086
1286,Age,4,972,1,0.00575942,0.169753086
1286,Age,67,972,1,0.00575942,0.169753086
1286,Age,68,972,1,0.00575942,0.169753086
1286,Age,70,972,1,0.00575942,0.169753086
1286,Age,47,972,1,0.00575942,0.169753086
1286,Age,66,972,1,0.00575942,0.169753086
1286,Age,44,972,1,0.00575942,0.169753086
1286,Age,73,972,1,0.00575942,0.169753086
1286,Age,8,972,1,0.00575942,0.169753086
1286,Age,3,972,1,0.00575942,0.169753086
1286,Age,65,972,1,0.00575942,0.169753086
1286,Age,38,972,1,0.00575942,0.169753086
1286,Age,64,972,1,0.00575942,0.169753086
1286,Age,87,972,1,0.00575942,0.169753086
1286,Age,79,972,1,0.00575942,0.169753086
1286,Age,61,972,1,0.00575942,0.169753086
1286,Age,11,972,1,0.00575942,0.169753086
1286,Age,74,972,1,0.00575942,0.169753086
1286,Age,75,972,1,0.00575942,0.169753086
1286,Age,51,972,1,0.00575942,0.169753086
1286,Age,60,972,1,0.00575942,0.169753086
1286,Age,5,972,1,0.00575942,0.169753086
1286,Age,16,972,1,0.00575942,0.169753086
1286,Age,80,972,1,0.00575942,0.169753086
1286,Age,72,972,1,0.00575942,0.169753086
1286,Age,45,972,1,0.00575942,0.169753086
1286,LOS,18,972,1,0.00575942,0.169753086
1286,LOS,37,972,1,0.00575942,0.169753086
1286,LOS,242,972,1,0.00575942,0.169753086
1286,LOS,30,972,1,0.00575942,0.169753086
1286,LOS,34,972,1,0.00575942,0.169753086
1286,LOS,1,972,1,0.00575942,0.169753086
1286,LOS,50,972,1,0.00575942,0.169753086
1286,HadPPH,Not Given,972,1,0.00575942,0.169753086
1286,Facility_ID,L212,972,1,0.00575942,0.169753086
1286,Facility_ID,R206,972,1,0.00575942,0.169753086
1286,Facility_ID,R218,972,1,0.00575942,0.169753086
1286,Facility_ID,R219,972,1,0.00575942,0.169753086
1286,Facility_ID,R207,972,1,0.00575942,0.169753086
1286,Facility_ID,R216,972,1,0.00575942,0.169753086
1287,SRG_Desc,51 Plastic and Reconstructive Surgery,13,2,7.70E-05,0.615384615
1287,SRG_Desc,16 Diagnostic GI Endoscopy,13,2,7.70E-05,0.615384615
1287,SRG_Desc,50 Ophthalmology,13,2,7.70E-05,0.615384615
1287,Age,9,13,2,7.70E-05,0.615384615
1287,Age,6,13,2,7.70E-05,0.615384615
1287,LOS,50,13,2,7.70E-05,0.615384615
1287,LOS,34,13,2,7.70E-05,0.615384615
1287,LOS,30,13,2,7.70E-05,0.615384615
1287,LOS,242,13,2,7.70E-05,0.615384615
1287,LOS,37,13,2,7.70E-05,0.615384615
1287,LOS,1,13,2,7.70E-05,0.615384615
1287,LOS,18,13,2,7.70E-05,0.615384615
1287,HadPPH,Not Given,13,2,7.70E-05,0.615384615
1287,Facility_ID,R207,13,2,7.70E-05,0.615384615
1287,Facility_ID,L212,13,2,7.70E-05,0.615384615
1287,Facility_ID,R216,13,2,7.70E-05,0.615384615
1287,Facility_ID,R218,13,2,7.70E-05,0.615384615
1287,Facility_ID,R206,13,2,7.70E-05,0.615384615
1287,Facility_ID,R219,13,2,7.70E-05,0.615384615
322,SRG_Desc,41 Breast Surgery,1095,1,0.006488235,0.15890411
322,SRG_Desc,48 ENT & Head and Neck,1095,1,0.006488235,0.15890411
322,SRG_Desc,71 Gynaecology,1095,1,0.006488235,0.15890411
322,Age,49,1095,1,0.006488235,0.15890411
322,Age,67,1095,1,0.006488235,0.15890411
322,Age,58,1095,1,0.006488235,0.15890411
322,Age,45,1095,1,0.006488235,0.15890411
322,Age,66,1095,1,0.006488235,0.15890411
322,Age,47,1095,1,0.006488235,0.15890411
322,Age,68,1095,1,0.006488235,0.15890411
322,Age,48,1095,1,0.006488235,0.15890411
322,Age,52,1095,1,0.006488235,0.15890411
322,Age,3,1095,1,0.006488235,0.15890411
322,Age,59,1095,1,0.006488235,0.15890411
322,Age,11,1095,1,0.006488235,0.15890411
322,Age,71,1095,1,0.006488235,0.15890411
322,Age,51,1095,1,0.006488235,0.15890411
322,Age,10,1095,1,0.006488235,0.15890411
322,Age,74,1095,1,0.006488235,0.15890411
322,Age,40,1095,1,0.006488235,0.15890411
322,Age,69,1095,1,0.006488235,0.15890411
322,Age,16,1095,1,0.006488235,0.15890411
322,Age,44,1095,1,0.006488235,0.15890411
322,Age,87,1095,1,0.006488235,0.15890411
322,Age,54,1095,1,0.006488235,0.15890411
322,Age,53,1095,1,0.006488235,0.15890411
322,Age,55,1095,1,0.006488235,0.15890411
322,Age,73,1095,1,0.006488235,0.15890411
322,Age,89,1095,1,0.006488235,0.15890411
322,Age,38,1095,1,0.006488235,0.15890411
322,Age,9,1095,1,0.006488235,0.15890411
322,Age,81,1095,1,0.006488235,0.15890411
322,Age,41,1095,1,0.006488235,0.15890411
322,Age,34,1095,1,0.006488235,0.15890411
322,Age,8,1095,1,0.006488235,0.15890411
322,Age,4,1095,1,0.006488235,0.15890411
322,Age,36,1095,1,0.006488235,0.15890411
322,Age,5,1095,1,0.006488235,0.15890411
322,Age,6,1095,1,0.006488235,0.15890411
322,Age,50,1095,1,0.006488235,0.15890411
322,Age,77,1095,1,0.006488235,0.15890411
322,Age,57,1095,1,0.006488235,0.15890411
322,LOS,1,1095,1,0.006488235,0.15890411
322,LOS,18,1095,1,0.006488235,0.15890411
322,LOS,37,1095,1,0.006488235,0.15890411
322,LOS,50,1095,1,0.006488235,0.15890411
322,LOS,30,1095,1,0.006488235,0.15890411
322,LOS,34,1095,1,0.006488235,0.15890411
322,LOS,242,1095,1,0.006488235,0.15890411
322,HadPPH,Not Given,1095,1,0.006488235,0.15890411
322,Facility_ID,R213,1095,1,0.006488235,0.15890411
322,Facility_ID,M207,1095,1,0.006488235,0.15890411
322,Facility_ID,M206,1095,1,0.006488235,0.15890411
322,Facility_ID,R216,1095,1,0.006488235,0.15890411
322,Facility_ID,R218,1095,1,0.006488235,0.15890411
322,Facility_ID,M204,1095,1,0.006488235,0.15890411
322,Facility_ID,M211,1095,1,0.006488235,0.15890411
322,Facility_ID,R211,1095,1,0.006488235,0.15890411
322,Facility_ID,M205,1095,1,0.006488235,0.15890411
322,Facility_ID,R221,1095,1,0.006488235,0.15890411
322,Facility_ID,L212,1095,1,0.006488235,0.15890411
322,Facility_ID,M210,1095,1,0.006488235,0.15890411
322,Facility_ID,R208,1095,1,0.006488235,0.15890411
322,Facility_ID,M213,1095,1,0.006488235,0.15890411
322,Facility_ID,R210,1095,1,0.006488235,0.15890411
322,Facility_ID,N204,1095,1,0.006488235,0.15890411
322,Facility_ID,R219,1095,1,0.006488235,0.15890411
322,Facility_ID,R215,1095,1,0.006488235,0.15890411
322,Facility_ID,R207,1095,1,0.006488235,0.15890411
322,Facility_ID,R206,1095,1,0.006488235,0.15890411
322,Facility_ID,M214,1095,1,0.006488235,0.15890411
322,Facility_ID,N218,1095,1,0.006488235,0.15890411
322,Facility_ID,R205,1095,1,0.006488235,0.15890411
646,SRG_Desc,71 Gynaecology,193,1,0.001143588,0.212435233
646,SRG_Desc,41 Breast Surgery,193,1,0.001143588,0.212435233
646,Age,83,193,1,0.001143588,0.212435233
646,Age,76,193,1,0.001143588,0.212435233
646,Age,64,193,1,0.001143588,0.212435233
646,Age,80,193,1,0.001143588,0.212435233
646,Age,75,193,1,0.001143588,0.212435233
646,Age,42,193,1,0.001143588,0.212435233
646,Age,62,193,1,0.001143588,0.212435233
646,Age,65,193,1,0.001143588,0.212435233
646,Age,63,193,1,0.001143588,0.212435233
646,Age,72,193,1,0.001143588,0.212435233
646,Age,70,193,1,0.001143588,0.212435233
646,Age,79,193,1,0.001143588,0.212435233
646,Age,31,193,1,0.001143588,0.212435233
646,Age,46,193,1,0.001143588,0.212435233
646,Age,61,193,1,0.001143588,0.212435233
646,Age,60,193,1,0.001143588,0.212435233
646,Age,78,193,1,0.001143588,0.212435233
646,Age,56,193,1,0.001143588,0.212435233
646,Age,82,193,1,0.001143588,0.212435233
646,LOS,1,193,1,0.001143588,0.212435233
646,LOS,50,193,1,0.001143588,0.212435233
646,LOS,18,193,1,0.001143588,0.212435233
646,LOS,242,193,1,0.001143588,0.212435233
646,LOS,37,193,1,0.001143588,0.212435233
646,LOS,34,193,1,0.001143588,0.212435233
646,LOS,30,193,1,0.001143588,0.212435233
646,HadPPH,Not Given,193,1,0.001143588,0.212435233
646,Facility_ID,R221,193,1,0.001143588,0.212435233
646,Facility_ID,R219,193,1,0.001143588,0.212435233
646,Facility_ID,R211,193,1,0.001143588,0.212435233
646,Facility_ID,R210,193,1,0.001143588,0.212435233
646,Facility_ID,N218,193,1,0.001143588,0.212435233
646,Facility_ID,M213,193,1,0.001143588,0.212435233
646,Facility_ID,R208,193,1,0.001143588,0.212435233
646,Facility_ID,R206,193,1,0.001143588,0.212435233
646,Facility_ID,N204,193,1,0.001143588,0.212435233
646,Facility_ID,R205,193,1,0.001143588,0.212435233
646,Facility_ID,R216,193,1,0.001143588,0.212435233
646,Facility_ID,M206,193,1,0.001143588,0.212435233
646,Facility_ID,M207,193,1,0.001143588,0.212435233
646,Facility_ID,L212,193,1,0.001143588,0.212435233
646,Facility_ID,R207,193,1,0.001143588,0.212435233
646,Facility_ID,R215,193,1,0.001143588,0.212435233
646,Facility_ID,M214,193,1,0.001143588,0.212435233
646,Facility_ID,R218,193,1,0.001143588,0.212435233
646,Facility_ID,M210,193,1,0.001143588,0.212435233
646,Facility_ID,M204,193,1,0.001143588,0.212435233
646,Facility_ID,M211,193,1,0.001143588,0.212435233
646,Facility_ID,M205,193,1,0.001143588,0.212435233
646,Facility_ID,R213,193,1,0.001143588,0.212435233
1294,SRG_Desc,48 ENT & Head and Neck,86,1,0.000509578,0.325581395
1294,Age,65,86,1,0.000509578,0.325581395
1294,Age,83,86,1,0.000509578,0.325581395
1294,Age,60,86,1,0.000509578,0.325581395
1294,Age,31,86,1,0.000509578,0.325581395
1294,Age,42,86,1,0.000509578,0.325581395
1294,Age,75,86,1,0.000509578,0.325581395
1294,Age,64,86,1,0.000509578,0.325581395
1294,Age,46,86,1,0.000509578,0.325581395
1294,Age,80,86,1,0.000509578,0.325581395
1294,Age,70,86,1,0.000509578,0.325581395
1294,Age,76,86,1,0.000509578,0.325581395
1294,Age,78,86,1,0.000509578,0.325581395
1294,LOS,242,86,1,0.000509578,0.325581395
1294,LOS,30,86,1,0.000509578,0.325581395
1294,LOS,37,86,1,0.000509578,0.325581395
1294,LOS,50,86,1,0.000509578,0.325581395
1294,LOS,34,86,1,0.000509578,0.325581395
1294,LOS,18,86,1,0.000509578,0.325581395
1294,LOS,1,86,1,0.000509578,0.325581395
1294,HadPPH,Not Given,86,1,0.000509578,0.325581395
1294,Facility_ID,N204,86,1,0.000509578,0.325581395
1294,Facility_ID,R205,86,1,0.000509578,0.325581395
1294,Facility_ID,R206,86,1,0.000509578,0.325581395
1294,Facility_ID,R210,86,1,0.000509578,0.325581395
1294,Facility_ID,R218,86,1,0.000509578,0.325581395
1294,Facility_ID,N218,86,1,0.000509578,0.325581395
1294,Facility_ID,M213,86,1,0.000509578,0.325581395
1294,Facility_ID,L212,86,1,0.000509578,0.325581395
1294,Facility_ID,R211,86,1,0.000509578,0.325581395
